name,straße,PLZ,Ort,raummiete_pro_tag
DHBW Stuttgart,Rotebühlstraße 133,70197,Stuttgart,100
DHBW Mannheim,Coblitzallee 9,68163,Mannheim,50
DHBW Ravensburg-Friedrichshafen,Fallenbrunnen 2, 88045, Friedrichshafen,150
DHBW CAS,Bildungscampus 13,74076,Heilbronn,0
